ID_a,ID_b,Title_a,Title_b,Authors_a,Authors_b,Year_a,Year_b,DOI_a,DOI_b,Source_a,Source_b,title_sim
449,473,Air quality and employee hygiene-related behavior in a post anesthesia care unit in Thailand,Air quality and employee hygiene-related behavior in a post anesthesia care unit in Thailand,Kampan S.,Kampan S.,2019,2019,10.2174/1874434601913010100,10.31372/20190401.1005,Scopus,Scopus,1
654,655,Cabin environment and perception of cabin air quality among commercial aircrew,Cabin environment and perception of cabin air quality among commercial aircrew,Lindgren T.; Norback D.; Andersson K.; Dammstrom B.,"Lindgren, T; Norbäck, D; Andersson, K; Dammström, BG",2000,2000,NA,NA,Scopus,WOS,1
657,656,"Comparison of knowledge, attitude and practice on haze among first and final year medical students in Universiti Putra Malaysia","Comparison of knowledge, attitude and practice on haze among first and final year medical students in Universiti Putra Malaysia","Hazwani, N; Nasir, M; Haliza; Rahman, A",Hazwani N.; Nasir M.; Haliza; Rahman A.,2018,2018,NA,NA,WOS,Scopus,1
605,604,Factors Influencing Health Behavior Related to Particulate Matter in Older Adults,Factors influencing health behavior related to particulate matter in older adults,"Park, MK; Kim, GS",Park M.K.; Kim G.S.,2020,2020,10.4040/jkan.19201,10.4040/JKAN.19201,WOS,Scopus,1
663,664,How Does News Media Exposure Amplify Publics' Perceived Health Risks About Air Pollution in China? A Conditional Media Effect Approach,How Does News Media Exposure Amplify Publics’ Perceived Health Risks About Air Pollution in China? A Conditional Media Effect Approach,"Huang, Q",Huang Q.,2020,2020,NA,NA,WOS,Scopus,1
665,351,"INDOOR AIR QUALITY AT HIGHER INSTITUTION'S LABORATORY: A STUDY ON PRE-SYMPTOMS, AWARENESS AND UNDERSTANDING AMONG OCCUPANTS","Indoor air quality at higher institution’s laboratory: A study on pre-symptoms, awareness and understanding among occupants","Osman, MR; Azid, A; Juahir, H; Yunus, K; Amran, MA; Mustafa, AD; Azaman, F; Zainuddin, SFM",Osman M.R.; Azid A.; Juahir H.; Yunus K.; Amran M.A.; Mustafa A.D.; Azaman F.; Zainuddin S.F.M.,2015,2015,NA,10.11113/jt.v77.4272,WOS,Scopus,1
477,476,Income Elasticity of Willingness to Pay for Better Air Quality: Effect of a Private Environmental Substitute,Income Elasticity of Willingness to Pay for Better Air Quality: Effect of a Private Environmental Substitute,"He, J; He, Y; Zhang, B",He J.; He Y.; Zhang B.,2024,2024,10.3368/le.100.3.120722-0101R,10.3368/le.100.3.022822-0018R2,WOS,Scopus,1
673,675,"LOCAL PERCEPTION OF INDOOR AIR POLLUTION WITH USE OF BIOFUEL IN RURAL COMMUNITIES OF UCHALLI WETLANDS COMPLEX, SALT RANGE PAKISTAN","Local perception of indoor air pollution with use of biofuel in rural communities of Uchalli Wetlands complex, salt range Pakistan","Ali, Z; Shelly, SY; Bibi, F; Nasir, ZA; Colbeck, I",Ali Z.; Shelly S.Y.; Bibi F.; Nasir Z.A.; Colbeck I.,2011,2011,NA,NA,WOS,Scopus,1
674,474,Land use as an air quality control measure - Review of current practice and examination of policy options,Land use as an air quality control measure Review of current practice and examination of policy options,"Ang-Olson, J; Fischer, M; Dulla, R",Ang-Olson J.; Fischer M.; Dulla R.,2000,2000,NA,10.3141/1738-04,WOS,Scopus,1
677,275,PASSING THE TEST - HUMAN-BEHAVIOR AND CALIFORNIA SMOG CHECK PROGRAM,“Passing the test” – human behavior and california’s smog check program,"LAWSON, DR",Lawson D.R.,1993,1993,NA,10.1080/1073161X.1993.10467226,WOS,Scopus,0.9644
681,682,Personal Exposure to Particulate Matter Is Associated With Worse Health Perception in Adult Asthma,Personal exposure to particulate matter is associated with worse health perception in adult asthma,"Maestrelli, P; Canova, C; Scapellato, ML; Visentin, A; Tessari, R; Bartolucci, GB; Simonato, L; Lotti, M",Maestrelli P.; Canova C.; Scapellato M.L.; Visentin A.; Tessari R.; Bartolucci G.B.; Simonato L.; Lotti M.,2011,2011,NA,NA,WOS,Scopus,1
366,165,"Taking a Stand Against Air Pollution-The Impact on Cardiovascular Disease A Joint Opinion From the World Heart Federation, American College of Cardiology, American Heart Association, and the European Society of Cardiology","Taking a Stand Against Air Pollution—The Impact on Cardiovascular Disease: A Joint Opinion from the World Heart Federation, American College of Cardiology, American Heart Association, and the European Society of Cardiology","Brauer, M; Casadei, B; Harrington, RA; Kovacs, R; Sliwa, K",Brauer M.; Casadei B.; Harrington R.A.; Kovacs R.; Sliwa K.; Davaakhuu N.; Hadley M.; Kass D.; Miller M.; Consuelo Escamilla Nuñez M.; Prabhakaran D.; Su T.-C.; Vaartjes I.C.H.; Vedanthan R.,2021,2021,10.1161/CIRCULATIONAHA.120.052666,10.1016/j.jacc.2020.12.003,WOS,Scopus,1
366,623,"Taking a Stand Against Air Pollution-The Impact on Cardiovascular Disease A Joint Opinion From the World Heart Federation, American College of Cardiology, American Heart Association, and the European Society of Cardiology","Taking a stand against air pollution - The impact on cardiovascular disease a joint opinion from the world heart federation, American college of cardiology, American Heart Association, and the european society of cardiology","Brauer, M; Casadei, B; Harrington, RA; Kovacs, R; Sliwa, K",Brauer M.; Casadei B.; Harrington R.A.; Kovacs R.; Sliwa K.; Davaakhuu N.; Hadley M.; Kass D.; Miller M.; Nuñez M.C.E.; Prabhakaran D.; Su T.-C.; Vaartjes I.C.H.; Vedanthan R.,2021,2021,10.1161/CIRCULATIONAHA.120.052666,10.5334/GH.948,WOS,Scopus,1
165,623,"Taking a Stand Against Air Pollution—The Impact on Cardiovascular Disease: A Joint Opinion from the World Heart Federation, American College of Cardiology, American Heart Association, and the European Society of Cardiology","Taking a stand against air pollution - The impact on cardiovascular disease a joint opinion from the world heart federation, American college of cardiology, American Heart Association, and the european society of cardiology",Brauer M.; Casadei B.; Harrington R.A.; Kovacs R.; Sliwa K.; Davaakhuu N.; Hadley M.; Kass D.; Miller M.; Consuelo Escamilla Nuñez M.; Prabhakaran D.; Su T.-C.; Vaartjes I.C.H.; Vedanthan R.,Brauer M.; Casadei B.; Harrington R.A.; Kovacs R.; Sliwa K.; Davaakhuu N.; Hadley M.; Kass D.; Miller M.; Nuñez M.C.E.; Prabhakaran D.; Su T.-C.; Vaartjes I.C.H.; Vedanthan R.,2021,2021,10.1016/j.jacc.2020.12.003,10.5334/GH.948,Scopus,Scopus,1
698,702,The Role of Air Quality in Perception of Health of the Local Population,The role of air quality in perception of health of the local population,"Valentic, D; Micovic, V; Kolaric, B; Brncic, N; Ljubotina, A",Valentić D.; Mićović V.; Kolarić B.; Brnčić N.; Ljubotina A.,2010,2010,NA,NA,WOS,Scopus,1
