ID,reason,Title,Authors,Year,DOI,Source
366,duplicate,"Taking a Stand Against Air Pollution-The Impact on Cardiovascular Disease A Joint Opinion From the World Heart Federation, American College of Cardiology, American Heart Association, and the European Society of Cardiology","Brauer, M; Casadei, B; Harrington, RA; Kovacs, R; Sliwa, K",2021,10.1161/CIRCULATIONAHA.120.052666,WOS
473,duplicate,Air quality and employee hygiene-related behavior in a post anesthesia care unit in Thailand,Kampan S.,2019,10.31372/20190401.1005,Scopus
477,duplicate,Income Elasticity of Willingness to Pay for Better Air Quality: Effect of a Private Environmental Substitute,"He, J; He, Y; Zhang, B",2024,10.3368/le.100.3.120722-0101R,WOS
605,duplicate,Factors Influencing Health Behavior Related to Particulate Matter in Older Adults,"Park, MK; Kim, GS",2020,10.4040/jkan.19201,WOS
623,duplicate,"Taking a stand against air pollution - The impact on cardiovascular disease a joint opinion from the world heart federation, American college of cardiology, American Heart Association, and the european society of cardiology",Brauer M.; Casadei B.; Harrington R.A.; Kovacs R.; Sliwa K.; Davaakhuu N.; Hadley M.; Kass D.; Miller M.; Nuñez M.C.E.; Prabhakaran D.; Su T.-C.; Vaartjes I.C.H.; Vedanthan R.,2021,10.5334/GH.948,Scopus
655,duplicate,Cabin environment and perception of cabin air quality among commercial aircrew,"Lindgren, T; Norbäck, D; Andersson, K; Dammström, BG",2000,NA,WOS
657,duplicate,"Comparison of knowledge, attitude and practice on haze among first and final year medical students in Universiti Putra Malaysia","Hazwani, N; Nasir, M; Haliza; Rahman, A",2018,NA,WOS
663,duplicate,How Does News Media Exposure Amplify Publics' Perceived Health Risks About Air Pollution in China? A Conditional Media Effect Approach,"Huang, Q",2020,NA,WOS
665,duplicate,"INDOOR AIR QUALITY AT HIGHER INSTITUTION'S LABORATORY: A STUDY ON PRE-SYMPTOMS, AWARENESS AND UNDERSTANDING AMONG OCCUPANTS","Osman, MR; Azid, A; Juahir, H; Yunus, K; Amran, MA; Mustafa, AD; Azaman, F; Zainuddin, SFM",2015,NA,WOS
673,duplicate,"LOCAL PERCEPTION OF INDOOR AIR POLLUTION WITH USE OF BIOFUEL IN RURAL COMMUNITIES OF UCHALLI WETLANDS COMPLEX, SALT RANGE PAKISTAN","Ali, Z; Shelly, SY; Bibi, F; Nasir, ZA; Colbeck, I",2011,NA,WOS
674,duplicate,Land use as an air quality control measure - Review of current practice and examination of policy options,"Ang-Olson, J; Fischer, M; Dulla, R",2000,NA,WOS
677,duplicate,PASSING THE TEST - HUMAN-BEHAVIOR AND CALIFORNIA SMOG CHECK PROGRAM,"LAWSON, DR",1993,NA,WOS
681,duplicate,Personal Exposure to Particulate Matter Is Associated With Worse Health Perception in Adult Asthma,"Maestrelli, P; Canova, C; Scapellato, ML; Visentin, A; Tessari, R; Bartolucci, GB; Simonato, L; Lotti, M",2011,NA,WOS
698,duplicate,The Role of Air Quality in Perception of Health of the Local Population,"Valentic, D; Micovic, V; Kolaric, B; Brncic, N; Ljubotina, A",2010,NA,WOS
369,retracted,RETRACTED: Nationwide response to air pollution: Environmental behavior model based on self-identity and social identity process (Retracted Article),"Huang, LP; Ou, J; Gao, J",2020,10.1177/0020720920940604,WOS
